class,other_class,cosine_similarity
aeroplane,sheep,0.70751953125
aeroplane,pottedplant,0.70849609375
aeroplane,sofa,0.7177734375
aeroplane,chair,0.71826171875
aeroplane,tvmonitor,0.71923828125
aeroplane,diningtable,0.73291015625
aeroplane,cow,0.73974609375
aeroplane,person,0.74169921875
aeroplane,cat,0.755859375
aeroplane,bottle,0.75732421875
aeroplane,bicycle,0.76806640625
aeroplane,motorbike,0.77099609375
aeroplane,dog,0.7724609375
aeroplane,bus,0.77783203125
aeroplane,horse,0.779296875
aeroplane,bird,0.80126953125
aeroplane,boat,0.8076171875
aeroplane,car,0.814453125
aeroplane,train,0.82568359375
aeroplane,aeroplane,1.0
bicycle,sofa,0.7041015625
bicycle,sheep,0.71337890625
bicycle,pottedplant,0.7197265625
bicycle,tvmonitor,0.73681640625
bicycle,diningtable,0.74462890625
bicycle,person,0.75146484375
bicycle,cow,0.75341796875
bicycle,chair,0.7568359375
bicycle,aeroplane,0.76806640625
bicycle,cat,0.78662109375
bicycle,bottle,0.7900390625
bicycle,boat,0.791015625
bicycle,train,0.79150390625
bicycle,bus,0.79443359375
bicycle,bird,0.794921875
bicycle,dog,0.7978515625
bicycle,horse,0.810546875
bicycle,car,0.81982421875
bicycle,motorbike,0.8828125
bicycle,bicycle,0.99951171875
bird,sofa,0.7021484375
bird,chair,0.72998046875
bird,diningtable,0.74609375
bird,tvmonitor,0.75341796875
bird,pottedplant,0.75341796875
bird,person,0.77783203125
bird,motorbike,0.7783203125
bird,bus,0.78125
bird,sheep,0.78564453125
bird,bicycle,0.794921875
bird,aeroplane,0.80126953125
bird,train,0.80126953125
bird,boat,0.80517578125
bird,bottle,0.806640625
bird,cow,0.806640625
bird,car,0.8330078125
bird,horse,0.8369140625
bird,cat,0.8447265625
bird,dog,0.8515625
bird,bird,1.0
boat,sheep,0.74072265625
boat,tvmonitor,0.74169921875
boat,chair,0.7421875
boat,sofa,0.75146484375
boat,pottedplant,0.75341796875
boat,diningtable,0.76220703125
boat,cow,0.765625
boat,person,0.77978515625
boat,bicycle,0.791015625
boat,motorbike,0.7939453125
boat,horse,0.80029296875
boat,bird,0.80517578125
boat,aeroplane,0.8076171875
boat,cat,0.81591796875
boat,bottle,0.8203125
boat,dog,0.8203125
boat,bus,0.82421875
boat,train,0.83984375
boat,car,0.87060546875
boat,boat,0.99951171875
bottle,sheep,0.7197265625
bottle,sofa,0.73046875
bottle,chair,0.73876953125
bottle,cow,0.74365234375
bottle,tvmonitor,0.7451171875
bottle,person,0.75341796875
bottle,aeroplane,0.75732421875
bottle,diningtable,0.759765625
bottle,pottedplant,0.76025390625
bottle,motorbike,0.77880859375
bottle,horse,0.77978515625
bottle,bus,0.78515625
bottle,train,0.7900390625
bottle,bicycle,0.7900390625
bottle,dog,0.798828125
bottle,cat,0.80078125
bottle,bird,0.806640625
bottle,boat,0.8203125
bottle,car,0.826171875
bottle,bottle,1.0009765625
bus,pottedplant,0.7060546875
bus,sheep,0.71240234375
bus,chair,0.74755859375
bus,cow,0.751953125
bus,diningtable,0.75244140625
bus,person,0.75390625
bus,tvmonitor,0.75634765625
bus,sofa,0.7607421875
bus,motorbike,0.77197265625
bus,aeroplane,0.77783203125
bus,bird,0.78125
bus,cat,0.78271484375
bus,bottle,0.78515625
bus,horse,0.78662109375
bus,bicycle,0.79443359375
bus,dog,0.80029296875
bus,boat,0.82421875
bus,car,0.8603515625
bus,train,0.87060546875
bus,bus,1.0009765625
car,sheep,0.7490234375
